real,euclidian,start_lon,dest_lon,start_lat,dest_lat
5029,4053.7329803064167,-73.987915,-73.957382,40.75473,40.782902
7949,6064.687406586747,-73.988365,-73.920486,40.720261,40.702522
5664,4225.728089387539,-73.989822,-74.009789,40.702522,40.737411
2688,2438.621299626404,-74.00573,-74.006401,40.717567,40.739521
4688,3144.4746046494947,-73.996536,-74.009888,40.747967,40.721535
2673,2190.5070911198077,-73.925537,-73.899651,40.759117,40.757832
1656,989.6017650977948,-73.975334,-73.964516,40.75259,40.756016
23204,13664.788645778852,-73.871323,-74.007263,40.773685,40.70697
14821,10549.780819389962,-73.874474,-73.993782,40.773952,40.745754
14267,10476.937294165135,-73.873024,-73.994598,40.774124,40.755241
2895,2550.1481039048313,-73.986336,-74.004639,40.734493,40.716232
3082,2588.3465116577845,-73.999588,-73.990707,40.733662,40.75597
4664,3027.5447226351325,-73.994659,-73.990356,40.750458,40.723392
21289,13571.544368930037,-73.974823,-74.015457,40.761833,40.643597
1758,1239.033902315432,-73.994293,-74.00631,40.726696,40.733093
10510,7758.622688846912,-73.914116,-73.975983,40.743721,40.795383
10132,7402.501754087971,-73.988029,-73.939072,40.743832,40.799133
2173,2098.5350131479936,-73.981934,-73.990463,40.779453,40.761703
2247,1945.0360671743972,-73.982079,-73.992722,40.778168,40.762634
8366,5996.567979699051,-74.001297,-73.941818,40.741295,40.711826
6519,5252.980669983051,-73.955254,-73.985352,40.7733,40.731903
2498,2329.1135365037103,-73.973648,-73.958763,40.792236,40.809898
7701,3774.808024437306,-73.999443,-73.960884,40.675259,40.692402
2,6.0150422770132685,-73.9785,-73.978455,40.786022,40.78598
2889,2360.7706756745033,-74.005173,-73.996658,40.740665,40.720417
17087,12694.0193646312,-73.790787,-73.924301,40.645313,40.69759
2770,1313.0590905872439,-73.981522,-73.993652,40.754696,40.747299
1151,689.734685323992,-73.982651,-73.981995,40.771572,40.777763
4261,2965.6553590893436,-73.97657,-73.942154,40.788502,40.793888
7559,6265.608983748391,-73.988007,-73.916512,40.759876,40.744797
3119,2287.320206294614,-73.991768,-73.991356,40.759712,40.739117
